tag,method,n,orig_mean,rewrite_mean,ratio_mean,ratio_median,abs_err_mean,pct_err_mean,pct_within_5,pct_within_10,pct_within_20,pct_under_0_80,pct_over_1_20
v1,lit_informed,100,119.5,102.75,0.8710717557081215,0.8619365551596498,17.65,0.15479245687534296,0.16,0.28,0.74,0.25,0.01
v2_tight,lit_informed_tight,100,119.5,114.28,0.9546880245637206,0.9457002457002457,8.42,0.06965305818090893,0.36,0.76,0.99,0.01,0.0
v1,naive,100,119.5,107.7,0.9004863207500726,0.9135746606334841,13.16,0.11019762468473918,0.28,0.56,0.86,0.14,0.0
v2_tight,naive_tight,100,119.5,116.53,0.9734628237584029,0.96437578814628,6.11,0.05165750159123299,0.51,0.9,1.0,0.0,0.0
