method,bucket,delta_mean,delta_lo,delta_hi,improved_mean,improved_lo,improved_hi,n
naive,17.5,49.44444444444444,37.49513888888889,61.85763888888887,0.9722222222222222,0.9166666666666666,1.0,36
naive,22.5,46.875,33.672222222222224,57.45868055555556,0.9027777777777778,0.8055555555555556,0.9861111111111112,72
naive,27.5,48.773148148148145,43.87083333333334,53.49131944444444,0.9259259259259259,0.8564814814814815,0.9769675925925925,216
naive,32.5,41.371980676328505,38.06594202898551,44.78532608695652,0.8961352657004831,0.8525966183574879,0.9396135265700483,414
naive,37.5,42.25198412698413,40.368501984126986,44.31984126984127,0.9365079365079365,0.9087301587301587,0.9642857142857143,504
naive,42.5,36.88652482269504,35.29187352245863,38.4067671394799,0.9113475177304965,0.8888888888888888,0.9314420803782506,846
naive,47.5,33.33660130718954,32.07718545751634,34.450102124183005,0.9076797385620915,0.886437908496732,0.9264705882352942,1224
naive,52.5,27.514056224899598,26.37797858099063,28.584052878179385,0.8668005354752343,0.8433400267737617,0.8895582329317269,1494
naive,57.5,24.905349794238685,23.784756515775037,25.901286008230453,0.8580246913580247,0.8326303155006858,0.8820301783264746,1458
naive,62.5,20.64676616915423,19.5462271973466,21.664780265339967,0.8291873963515755,0.8009950248756219,0.8549129353233831,1206
naive,67.5,15.296296296296296,14.275351851851852,16.215962962962966,0.7577777777777778,0.7318333333333333,0.782962962962963,1350
naive,72.5,12.060882800608828,11.179813546423135,12.820053272450531,0.726027397260274,0.6993721461187216,0.751921613394216,1314
naive,77.5,7.39297385620915,6.530698529411764,8.212622549019606,0.5996732026143791,0.5735294117647058,0.623406862745098,1224
naive,82.5,4.648148148148148,3.972164351851852,5.265393518518518,0.5763888888888888,0.5439814814814815,0.6076388888888888,864
naive,87.5,-0.08922558922558922,-1.3611111111111112,0.8653198653198653,0.30303030303030304,0.2609427609427609,0.3451178451178451,594
naive,92.5,-0.5555555555555556,-0.7777777777777778,-0.3611111111111111,0.027777777777777776,0.0,0.08333333333333333,36
lit_informed_tight,17.5,36.09722222222222,31.6875,40.78958333333333,0.8993055555555556,0.8402777777777778,0.9548611111111112,288
lit_informed_tight,22.5,32.195767195767196,29.947585978835978,34.63597883597883,0.8796296296296297,0.8412367724867725,0.9140211640211641,756
lit_informed_tight,27.5,31.339225589225588,29.10157828282828,33.47727272727273,0.8552188552188552,0.8198653198653199,0.8863636363636364,1188
lit_informed_tight,32.5,27.762777777777778,26.13826388888889,29.510069444444444,0.815,0.7860972222222222,0.8411111111111111,1800
lit_informed_tight,37.5,25.29810298102981,23.83765808491418,26.90299232158988,0.7922312556458898,0.7682813911472448,0.8175474254742547,2214
lit_informed_tight,42.5,23.435435435435437,21.960313438438437,24.83024587087087,0.7582582582582582,0.7357263513513513,0.7785285285285285,2664
lit_informed_tight,47.5,21.315610088616225,20.1531612133606,22.48296693933197,0.7416496250852079,0.7198278800272666,0.7611196319018404,2934
lit_informed_tight,52.5,19.667676767676767,18.566144781144782,20.98591750841751,0.730976430976431,0.7067255892255893,0.7565740740740741,2970
lit_informed_tight,57.5,16.45041014168531,15.177712527964207,17.78155294556301,0.6957494407158836,0.6681487695749441,0.7233594332587621,2682
lit_informed_tight,62.5,13.194444444444445,12.007476851851852,14.456203703703704,0.6671296296296296,0.6407060185185185,0.6972453703703703,2160
lit_informed_tight,67.5,12.711912943871706,11.501446162657503,13.731772623138601,0.6827033218785796,0.6506300114547537,0.7107674684994273,1746
lit_informed_tight,72.5,11.017094017094017,9.924893162393161,12.008422364672363,0.7001424501424501,0.6688034188034188,0.7272257834757835,1404
lit_informed_tight,77.5,7.498412698412698,6.668174603174603,8.302440476190476,0.611904761904762,0.5849007936507937,0.6381150793650793,1260
lit_informed_tight,82.5,3.994212962962963,3.192418981481482,4.838483796296296,0.5567129629629629,0.5208043981481482,0.5891493055555556,864
lit_informed_tight,87.5,0.06397306397306397,-1.025631313131313,0.9663299663299664,0.3148148148148148,0.2760942760942761,0.35185185185185186,594
lit_informed_tight,92.5,-0.7777777777777778,-1.1944444444444444,-0.3604166666666673,0.0,0.0,0.0,36
bon_panel,17.5,48.38773148148148,46.84004629629629,50.0490162037037,0.9895833333333334,0.9803240740740741,0.9965277777777778,864
bon_panel,22.5,41.00925925925926,39.81543209876543,42.16247795414462,0.9739858906525574,0.9651675485008818,0.9814925044091711,2268
bon_panel,27.5,40.333894500561165,39.37282547699215,41.38491863075196,0.9593153759820426,0.9506172839506173,0.9663299663299664,3564
bon_panel,32.5,35.449444444444445,34.71238888888889,36.18878703703703,0.9266666666666666,0.9196296296296296,0.9346342592592592,5400
bon_panel,37.5,31.86383491489682,31.19344305513709,32.43217069611329,0.9075161921976201,0.8980084521575304,0.9161216732043401,6639
bon_panel,42.5,28.625,27.979886136136138,29.275706956956956,0.8574824824824825,0.8478478478478478,0.8666197447447447,7992
bon_panel,47.5,26.83787775505567,26.22653374233129,27.42949329697796,0.8660531697341514,0.8565070438536696,0.8759401272438082,8802
bon_panel,52.5,23.126374859708193,22.51341470258137,23.681240179573514,0.8207631874298541,0.8094276094276094,0.8325561167227834,8910
bon_panel,57.5,19.579169773800647,18.979064131245337,20.17052883420333,0.7821277653492419,0.7691989808600547,0.7948048719860801,8046
