method,uplift,u_lo,u_hi,preservation,p_lo,p_hi,n_up,n_pr
naive,0.2966371530298835,0.29233140732207585,0.3009428987376912,0.8398895790200138,0.820112645660175,0.8578690420888542,12852,1449
lit_informed_tight,0.27655473592425517,0.2729927969875721,0.2801166748609382,0.7201518288474811,0.7035237834078076,0.7361969787454401,25704,2898
bon_panel,0.35434052360748186,0.3523873715678197,0.35629367564714404,0.7178513917644352,0.7082965255584036,0.7272138199047743,77109,8694
bon_panel_nli,0.29407165944057273,0.2921312866245779,0.2960120322565676,0.8549574419139636,0.8473983491288283,0.862202984608958,77112,8694
grpo_400step,0.377039974635541,0.37509271477432976,0.37898723449675226,0.7617897400506096,0.7527207899690869,0.7706274393203497,77109,8694
grpo_nli_400step,0.21345918956335277,0.21174934738653486,0.21516903174017069,0.9769956291695422,0.9736272553781642,0.9799426509765342,77112,8694
lit_informed_tight_strictlen_opus47,0.44862266962973846,0.44337395145333935,0.45387138780613756,1.0,0.9960389407919809,1.0,8568,966
